RZERO,PPM,DATE
1975.07,739.90,2019-03-31 01:39:06
1975.07,739.90,2019-03-31 01:39:07
1975.07,739.90,2019-03-31 01:39:08
1975.07,739.90,2019-03-31 01:39:09
1975.07,739.90,2019-03-31 01:39:10
1975.07,739.90,2019-03-31 01:39:11
2026.11,739.90,2019-03-31 01:39:12
1975.07,739.90,2019-03-31 01:39:13
1975.07,739.90,2019-03-31 01:39:14
2026.11,739.90,2019-03-31 01:39:15
2026.11,739.90,2019-03-31 01:39:16
1975.07,739.90,2019-03-31 01:39:17
1975.07,689.43,2019-03-31 01:39:18
1975.07,739.90,2019-03-31 01:39:19
2026.11,739.90,2019-03-31 01:39:20
1975.07,739.90,2019-03-31 01:39:21
2026.11,739.90,2019-03-31 01:39:22
2026.11,739.90,2019-03-31 01:39:23
1975.07,739.90,2019-03-31 01:39:24
2026.11,739.90,2019-03-31 01:39:25
2026.11,739.90,2019-03-31 01:39:26
2026.11,739.90,2019-03-31 01:39:27
2026.11,739.90,2019-03-31 01:39:28
1975.07,739.90,2019-03-31 01:39:29
1975.07,739.90,2019-03-31 01:39:30
